"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"j5eabbb-j5eabbb_h4a0bc2-c","<p>Not assessable&nbsp;</p><img src=""51.png""/>","Nelze hodnotit <img src=""149.png""/>","Не поддается оценке <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Vet ej <img src=""149.png""/>","Je ne sais pasNe <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","לא ניתן להערכה  <img src=""149.png""/>","No se puede evaluar <img src=""149.png""/>","평가할 수 없음 <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Niemożliwa do oceny <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Jag kan inte säga <img src=""149.png""/>","Non valutabile <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","ei arvioitavissa <img src=""149.png""/>","Não avaliável <img src=""149.png""/>","لم أستطع التقييم  <img src=""149.png""/>","Değerlendirilemiyor <img src=""149.png""/>","No evaluable <img src=""149.png""/>","Kan ik niet zeggen  <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Nem értékelhető <img src=""149.png""/>","Niet van toepassing <img src=""149.png""/>"
"g22ff7f-q","What do you think about the smell of the suspension? The smell is …","Co si myslíš o vůni suspenze? Vůně je ... ","Что ты думаешь о запахе суспензии? Моя оценка запаха... ","Que penses-tu de l’odeur de la suspension? L’odeur est... ","Vad tycker du om lukten? Den luktar… ","Que pensez-vous de l'odeur de la suspension ? L’odeur est ... ","Que penses-tu de l’odeur de la suspension ? L’odeur est … ","מה אתה חושב על ריח התרחיף? הריח הוא ...","¿Qué piensas acerca del olor de la suspensión? El olor es …","현탁액의 냄새에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 냄새는...","What do you think about the smell of the suspension? The smell is ...","Co sądzisz o zapachu zawiesiny? Zapach jest…","Was hältst du vom Geruch der Suspension? Der Geruch ist …","What do you think about the smell of the suspension? The smell is ...","Vad tycker du om suspensionens doft? Doften är ...","Cosa pensi dell’odore della sospensione? L’odore è... ","Was hältst du vom Geruch der Suspension? Der Geruch ist …","What do you think about the smell of the suspension? The smell is ...","Mitä mieltä olet suspension hajusta? Haju on... ","O que achaste do cheiro da suspensão? O cheiro é... "," ما رأيك في رائحة المعلق؟ الرائحة …","Süspansiyonun kokusu hakkında ne düşünüyorsunuz? Kokusu ... ","¿Qué opinas del olor de la suspensión? El olor es... ","Wat vind je van de geur van de suspensie? De geur is ... ","Que penses-tu de l’odeur du médicament ? L’odeur est … ","Mit gondolsz a szuszpenzió szagáról? A szuszpenzió szaga... ","Wat vind je van de geur van het drankje (suspensie)? De geur is … "
"g22ff7f-g22ff7f_s3ac54f-c","<p>Very bad</p><img src=""40.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"g22ff7f-g22ff7f_ja92895-c","<p>Bad</p><img src=""41.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"g22ff7f-g22ff7f_r45b518-c","<p>Neutral</p><img src=""42.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"g22ff7f-g22ff7f_b8b3b25-c","<p>Good</p><img src=""43.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
"g22ff7f-g22ff7f_m5847bd-c","<p>Very good</p><img src=""44.png""/>","Velmi dobrá <img src=""148.png""/>","Очень хорошо <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Mycket bra  <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","טוב מאוד   <img src=""148.png""/>","Muy agradable  <img src=""148.png""/>","매우 좋음 <img src=""148.png""/>","Very good <img src=""148.png""/>","Bardzo dobra <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","mycket bra  <img src=""148.png""/>","Molto gradevole <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","todella hyvä     <img src=""148.png""/>","Muito boa <img src=""148.png""/>","جيد جدًا   <img src=""148.png""/>","Çok iyi <img src=""148.png""/>","Muy buena <img src=""148.png""/>","Heel goed <img src=""148.png""/>","Très bon    <img src=""148.png""/>","Nagyon jó  <img src=""148.png""/>","Zeer goed <img src=""148.png""/>"
"g22ff7f-g22ff7f_f64c331-c","<p>Not assessable</p><img src=""45.png""/>","Nelze hodnotit <img src=""149.png""/>","Не поддается оценке <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Vet ej <img src=""149.png""/>","Je ne sais pasNe <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","לא ניתן להערכה  <img src=""149.png""/>","No se puede evaluar <img src=""149.png""/>","평가할 수 없음 <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Niemożliwa do oceny <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Jag kan inte säga <img src=""149.png""/>","Non valutabile <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","ei arvioitavissa <img src=""149.png""/>","Não avaliável <img src=""149.png""/>","لم أستطع التقييم  <img src=""149.png""/>","Değerlendirilemiyor <img src=""149.png""/>","No evaluable <img src=""149.png""/>","Kan ik niet zeggen  <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Nem értékelhető <img src=""149.png""/>","Niet van toepassing <img src=""149.png""/>"
"yf6041f-q","What do you think about the texture of the suspension (just right after having the study medication dose)? The texture is …","Co si myslíš o konzistenci suspenze (pocit ihned po podání dávky)? Konzistence je ...","Что ты думаешь о текстуре суспензии (сразу после приема исследуемого лекарства)? Моя оценка текстуры...","Que penses-tu de la texture de la suspension (juste après avoir pris le médicament à l’étude)? La texture est...","Vad tycker du om konsistensen (direkt efter att du tagit medicinen). Konsistensen är…","Que pensez-vous de la texture de la suspension (juste après avoir reçu la dose du médicament de l’étude) ? La texture est ...","Que penses-tu de la texture de la suspension (juste après avoir pris la dose du médicament de l’étude) ? La texture est …","מה אתה חושב על המרקם של התרחיף (מיד לאחר נטילת מנת תרופת המחקר)? המרקם הוא …","¿Que piensas acerca de la textura de la suspensión (justo después de haber tomado la dosis del medicamento)? La textura es …","현탁액의 식감에 대해 아동이 짓는 자발적 표정을 포착해 주십시오(시험약 복용 직후). 그 표현이 나타내는 식감은...","What do you think about the texture of the suspension (just right after having the study medication dose)? The texture is ...","Co sądzisz o konsystencji zawiesiny (bezpośrednio po przyjęciu dawki leku). Konsystencja jest…","Was hältst du von der Konsistenz der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation)? Die Konsistenz ist …","What do you think about the texture of the suspension (just right after having the study medication dose)? The texture is ...","Vad tycker du om suspensionens konsistens (strax efter att du tagit en dos av medicinen)? Konsistensen är ...","Come ti sembra la consistenza della sospensione (subito dopo aver preso la dose di farmaco in studio)? La consistenza è...","Was hältst du von der Konsistenz der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation)? Die Konsistenz ist …","What do you think about the texture of the suspension (just right after having the study drug dose)? The texture is ...","Mitä mieltä olet suspension rakenteesta (heti sen jälkeen, kun olet ottanut tutkimuslääkeannoksen)? Rakenne on...","O que achaste da textura da suspensão (logo após tomar a dose de medicação do estudo)? A textura é...","ا رأيك في ملمس المعلق (عقب تناولك لجرعة دواء الدراسة مباشرةً)؟ الملمس …","Süspansiyonun kıvamı (çalışma ilacı dozunu aldıktan hemen sonra) hakkında ne düşünüyorsunuz? Kıvamı ...","¿Qué opinas de la textura de la suspensión (justo después de tomar la dosis del medicamento del estudio)? La textura es...","Wat vind je van de textuur van de suspensie (net nadat je het studiegeneesmiddel hebt ingenomen)? De textuur is ...","Que penses-tu de la texture du médicament (immédiatement après avoir pris la dose du médicament) ? La texture est …","Milyennek találod a szuszpenzió állagát (közvetlenül a vizsgálati készítmény adagjának bevétele után)? Az állag...","Wat vind je van de textuur van het drankje (direct nadat je de medicatie hebt gekregen)? De textuur is …"
"yf6041f-yf6041f_o154d52-c","<p>Very bad</p><img src=""52.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"yf6041f-yf6041f_l2bb1b3-c","<p>Bad</p><img src=""53.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"yf6041f-yf6041f_z684d78-c","<p>Neutral</p><img src=""54.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"yf6041f-yf6041f_jb0c115-c","<p>Good</p><img src=""55.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
